Food_code,Seq_num,Additional_food_description,Start_date,End_date
11710351,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710352,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710353,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710354,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710354,2,made with filtered tap water or well water,2017-01-01,2018-12-31
11710355,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710355,3,made with bottled spring water,2017-01-01,2018-12-31
11710356,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710356,3,made with Nursery water,2017-01-01,2018-12-31
11710356,4,Gerber Pure water,2017-01-01,2018-12-31
11710356,5,Beech-Nut Spring water,2017-01-01,2018-12-31
11710357,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710357,2,made with filtered tap water or well water,2017-01-01,2018-12-31
11710358,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710358,3,made with bottled spring water,2017-01-01,2018-12-31
11710359,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
11710359,3,made with Nursery water,2017-01-01,2018-12-31
11710359,4,Gerber Pure water,2017-01-01,2018-12-31
11710359,5,Beech-Nut Spring water,2017-01-01,2018-12-31
11710359,6,NS as to Similac variety,2017-01-01,2018-12-31
11710360,1,Similac Organic,2017-01-01,2018-12-31
